City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Dvinskoy,RU,62.1535,45.1175,24.89,95,100,7.49,light snow
138,Torbay,CA,47.6666,-52.7314,35.58,91,75,27.63,broken clouds
139,Tromso,NO,69.6496,18.957,30.22,64,75,11.5,broken clouds
140,Esperance,AU,-33.8667,121.9,78.64,54,4,9.28,clear sky
141,Cururupu,BR,-1.8283,-44.8683,74.26,94,67,2.3,broken clouds
142,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,75,12.66,broken clouds
143,Flin Flon,CA,54.7682,-101.865,5.43,96,100,4.14,overcast clouds
144,Provideniya,RU,64.3833,-173.3,-3.89,59,0,15.66,clear sky
145,Tabou,CI,4.423,-7.3528,78.51,87,12,5.82,few clouds
146,Constantine,DZ,36.365,6.6147,36.81,60,0,1.14,clear sky
147,Bambous Virieux,MU,-20.3428,57.7575,74.21,94,40,2.3,scattered clouds
148,Portmore,JM,17.9702,-76.8672,80.56,78,20,11.5,few clouds
149,Longkou,CN,37.6508,120.3286,38.08,64,0,9.46,clear sky
150,Arraial Do Cabo,BR,-22.9661,-42.0278,70.5,88,93,9.01,overcast clouds
151,Cabedelo,BR,-6.9811,-34.8339,77.67,71,100,10.69,overcast clouds
152,Sisimiut,GL,66.9395,-53.6735,-0.38,95,100,8.57,light snow
153,Tura,IN,25.5198,90.2201,61.27,63,51,1.54,broken clouds
154,Ozinki,RU,51.1786,49.6769,25.07,96,100,20.47,snow
155,Grand Gaube,MU,-20.0064,57.6608,74.37,77,88,7.65,overcast clouds
156,Sabha,LY,27.0377,14.4283,44.96,64,0,11.25,clear sky
157,Cherskiy,RU,68.75,161.3,-38.7,98,90,4.85,overcast clouds
158,Georgetown,MY,5.4112,100.3354,82.33,86,40,6.91,scattered clouds
159,Sangar,RU,63.9242,127.4739,-28.88,97,84,2.93,broken clouds
160,Borodyanka,UA,50.6448,29.9201,38.61,93,20,11.18,light intensity drizzle
161,Hasaki,JP,35.7333,140.8333,41.4,81,100,15.86,overcast clouds
162,Puyang,CN,29.4603,119.8861,41.4,90,100,2.82,overcast clouds
163,Arlit,NE,18.7369,7.3853,64.72,9,0,9.24,clear sky
164,Sitka,US,57.0531,-135.33,42.69,87,100,18.41,light rain
165,Whitehorse,CA,60.7161,-135.0538,38.01,75,40,13.8,scattered clouds
166,Balykshi,KZ,47.0667,51.8667,30.2,86,75,15.66,broken clouds
167,Trelew,AR,-43.249,-65.3051,64.67,82,100,9.55,overcast clouds
168,Natal,BR,-5.795,-35.2094,81.25,78,20,5.75,few clouds
169,Lensk,RU,60.7253,114.9278,-9.08,94,100,5.01,overcast clouds
170,Hovd,MN,48.0056,91.6419,-7.69,93,99,2.91,overcast clouds
171,Surt,LY,31.2089,16.5887,56.77,71,74,12.53,broken clouds
172,Magadan,RU,59.5667,150.8,6.3,67,92,3.15,overcast clouds
173,Saskylakh,RU,71.9167,114.0833,-0.47,90,99,13.47,overcast clouds
174,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,79,30,9.1,scattered clouds
175,Carora,VE,10.1755,-70.0827,76.98,61,91,10.27,overcast clouds
176,Alofi,NU,-19.0595,-169.9187,85.89,70,40,8.05,scattered clouds
177,Kununurra,AU,-15.7667,128.7333,91.38,62,78,5.75,broken clouds
178,Adrar,MR,20.5022,-10.0711,62.29,15,8,12.15,clear sky
179,Aksarka,RU,66.5606,67.7975,1.35,97,94,9.24,overcast clouds
180,Alamogordo,US,32.8995,-105.9603,49.44,38,0,5.75,clear sky
181,Egvekinot,RU,66.3167,-179.1667,-22.52,89,31,5.7,scattered clouds
182,Taltal,CL,-25.4,-70.4833,65.25,80,0,2.39,clear sky
183,San Patricio,US,28.017,-97.5169,58.84,54,4,8.7,clear sky
