City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Hasaki,JP,2022-01-31 19:51:29,35.7333,140.8333,30.6,41,40,11.74
119,Nyurba,RU,2022-01-31 19:51:30,63.2842,118.3319,-31.76,100,96,2.66
120,Provideniya,RU,2022-01-31 19:51:30,64.3833,-173.3,3.65,78,92,20.31
121,Kota,IN,2022-01-31 19:51:30,25.1833,75.8333,62.62,49,0,3.65
122,Banyo,CM,2022-01-31 19:51:31,6.75,11.8167,68.2,23,17,3.44
123,Bangui,CF,2022-01-31 19:51:31,4.3612,18.555,80.78,39,20,0.0
124,Sorong,ID,2022-01-31 19:51:31,-0.8833,131.25,78.91,79,100,16.06
125,Esperance,AU,2022-01-31 19:51:32,-33.8667,121.9,60.64,56,90,15.52
126,Sorland,NO,2022-01-31 19:51:32,67.667,12.6934,32.07,58,100,10.18
127,Bafia,CM,2022-01-31 19:51:32,4.75,11.2333,73.44,23,99,1.41
128,Kaeo,NZ,2022-01-31 19:51:33,-35.1,173.7833,70.32,92,100,14.63
129,Beringovskiy,RU,2022-01-31 19:51:33,63.05,179.3167,-2.79,90,100,15.28
130,Saint-Francois,FR,2022-01-31 19:51:33,46.4154,3.9054,37.42,87,0,10.36
131,Pevek,RU,2022-01-31 19:51:34,69.7008,170.3133,-18.56,98,100,1.54
132,Huarmey,PE,2022-01-31 19:51:34,-10.0681,-78.1522,75.45,74,100,10.92
133,Vanimo,PG,2022-01-31 19:51:34,-2.6741,141.3028,74.88,83,100,6.82
134,Fortuna,US,2022-01-31 19:51:35,40.5982,-124.1573,55.47,77,75,5.99
135,Cururupu,BR,2022-01-31 19:51:35,-1.8283,-44.8683,78.71,84,98,4.18
136,Merauke,ID,2022-01-31 19:51:35,-8.4667,140.3333,78.94,82,100,6.17
137,Mahajanga,MG,2022-01-31 19:52:36,-15.7167,46.3167,82.42,89,20,4.61
138,Baykalsk,RU,2022-01-31 19:52:36,51.5058,104.1469,5.13,83,94,4.79
139,Bulungu,CD,2022-01-31 19:52:36,-4.55,18.6,73.87,83,100,2.86
140,Waipawa,NZ,2022-01-31 19:52:37,-41.4122,175.5153,63.93,80,99,5.68
141,Aswan,EG,2022-01-31 19:52:37,24.0934,32.907,54.84,45,0,6.91
142,Pyay,MM,2022-01-31 19:52:37,18.8167,95.2167,60.13,47,6,0.49
143,Portland,US,2022-01-31 19:52:26,45.5234,-122.6762,47.52,83,75,1.01
144,Sitka,US,2022-01-31 19:52:38,57.0531,-135.33,33.69,86,75,0.0
145,San Policarpo,PH,2022-01-31 19:52:38,12.1791,125.5072,78.55,83,75,8.79
146,Ancud,CL,2022-01-31 19:52:38,-41.8697,-73.8203,62.42,63,3,11.16
147,Iqaluit,CA,2022-01-31 19:52:39,63.7506,-68.5145,-27.31,74,20,4.0
148,Sao Joao Da Barra,BR,2022-01-31 19:52:39,-21.6403,-41.0511,89.69,87,98,7.56
149,Ribeira Brava,PT,2022-01-31 19:52:39,32.65,-17.0667,66.0,50,39,14.45
150,Saetre,NO,2022-01-31 19:52:40,59.6817,10.5247,30.99,15,70,3.29
151,Khandbari,NP,2022-01-31 19:52:40,27.3747,87.2039,47.28,87,55,2.59
152,Port Lavaca,US,2022-01-31 19:52:40,28.615,-96.6261,64.06,93,100,9.22
153,Hanzhong,CN,2022-01-31 19:52:41,33.0728,107.0303,38.61,61,99,2.89
154,Bamako,ML,2022-01-31 19:52:41,12.65,-8.0,86.41,11,0,8.05
155,Nizhniy Kuranakh,RU,2022-01-31 19:52:41,58.8353,125.4869,-8.05,99,100,3.58
156,Hami,CN,2022-01-31 19:48:18,42.8,93.45,21.85,37,0,3.62
157,Port Lincoln,AU,2022-01-31 19:52:42,-34.7333,135.8667,63.48,75,17,17.85
158,Vysotsk,RU,2022-01-31 19:52:42,60.6288,28.5705,22.6,94,100,10.4
159,Troitsko-Pechorsk,RU,2022-01-31 19:52:43,62.7084,56.1964,-9.71,100,78,1.97
160,Necochea,AR,2022-01-31 19:48:30,-38.5473,-58.7368,70.03,39,100,9.71
161,North Bend,US,2022-01-31 19:52:43,43.4065,-124.2243,46.24,99,100,5.75
162,Severnyy-Kospashskiy,RU,2022-01-31 19:52:43,59.0925,57.8008,3.97,99,93,3.4
163,Moose Factory,CA,2022-01-31 19:52:44,51.2585,-80.6094,-0.4,55,0,6.91
164,Lasa,IT,2022-01-31 19:52:44,46.6166,10.7002,35.37,93,100,8.66
165,Omsukchan,RU,2022-01-31 19:52:45,62.5333,155.8,-8.99,96,100,5.7
166,Sur,OM,2022-01-31 19:52:45,22.5667,59.5289,72.52,62,0,4.47
167,Luderitz,NA,2022-01-31 19:52:45,-26.6481,15.1594,66.42,85,9,2.8
168,Sibolga,ID,2022-01-31 19:52:46,1.7427,98.7792,75.25,90,26,3.51
169,Kitgum,UG,2022-01-31 19:52:46,3.2783,32.8867,81.64,35,100,8.16
170,Kirkland Lake,CA,2022-01-31 19:50:06,48.1446,-80.0377,8.89,61,97,5.82
171,Mahina,PF,2022-01-31 19:51:08,-17.5065,-149.489,80.37,69,40,9.22
172,Nguru,NG,2022-01-31 19:52:47,12.8791,10.4526,66.33,18,5,10.65
173,Upernavik,GL,2022-01-31 19:52:47,72.7868,-56.1549,-20.18,99,81,2.89
174,Sweetwater,US,2022-01-31 19:52:47,25.7634,-80.3731,71.02,51,75,3.0
175,Klaksvik,FO,2022-01-31 19:52:48,62.2266,-6.589,40.12,98,100,21.74
176,College,US,2022-01-31 19:52:48,64.8569,-147.8028,-21.42,73,0,0.0
177,Jalu,LY,2022-01-31 19:52:48,29.0331,21.5482,57.13,59,83,8.61
178,Paredon,MX,2022-01-31 19:52:49,16.0333,-93.8667,82.38,52,0,7.83
179,Esmeralda,CU,2022-01-31 19:52:49,21.8525,-78.1169,74.07,51,75,12.82
180,Talnakh,RU,2022-01-31 19:52:49,69.4865,88.3972,6.21,95,100,8.86
181,Tessalit,ML,2022-01-31 19:52:50,20.1986,1.0114,69.94,12,0,10.65
182,Laguna,US,2022-01-31 19:53:50,38.421,-121.4238,64.24,61,0,4.0
183,Kutum,SD,2022-01-31 19:53:51,14.2,24.6667,54.95,21,0,13.22
184,Barentu,ER,2022-01-31 19:53:51,15.1139,37.5928,71.22,37,34,6.24
185,Cabo San Lucas,MX,2022-01-31 19:51:43,22.8909,-109.9124,80.62,54,2,3.0
186,Rengasdengklok,ID,2022-01-31 19:53:51,-6.1592,107.2981,80.13,83,100,3.96
187,Mataura,NZ,2022-01-31 19:53:52,-46.1927,168.8643,60.48,78,28,1.7
188,Saldanha,ZA,2022-01-31 19:53:52,-33.0117,17.9442,82.45,69,8,4.68
189,Lekoni,GA,2022-01-31 19:53:52,-1.5843,14.2591,84.7,40,100,2.75
190,Solnechnyy,RU,2022-01-31 19:53:53,50.7214,136.6319,-3.05,99,99,1.77
191,Dalbandin,PK,2022-01-31 19:53:53,28.8947,64.4101,55.51,41,0,7.76
192,Kenai,US,2022-01-31 19:53:53,60.5544,-151.2583,8.02,86,75,6.91
193,Taoudenni,ML,2022-01-31 19:53:54,22.6783,-3.9836,72.59,8,75,11.77
194,Labuhan,ID,2022-01-31 19:53:54,-6.8844,112.2051,77.92,88,100,7.63
195,Ossora,RU,2022-01-31 19:53:54,59.2353,163.0719,19.89,94,100,18.34
196,Nanortalik,GL,2022-01-31 19:53:55,60.1432,-45.2371,25.48,97,100,2.37
197,Chinsali,ZM,2022-01-31 19:53:55,-10.5414,32.0816,62.17,97,87,3.67
198,Kiboga,UG,2022-01-31 19:53:55,0.9161,31.7742,66.83,67,100,4.92
199,Kayerkan,RU,2022-01-31 19:53:56,69.3497,87.7602,5.52,84,99,7.27
200,Bar Harbor,US,2022-01-31 19:53:56,44.3876,-68.2039,28.62,50,0,10.0
201,Mitsamiouli,KM,2022-01-31 19:53:56,-11.3847,43.2844,82.04,73,12,2.48
202,Lexington Park,US,2022-01-31 19:53:57,38.2668,-76.4538,42.91,64,0,1.99
203,Catuday,PH,2022-01-31 19:53:57,16.2923,119.8062,75.31,71,2,10.18
204,Constitucion,CL,2022-01-31 19:53:57,-35.3333,-72.4167,68.9,55,0,15.08
205,Kushmurun,KZ,2022-01-31 19:53:58,52.4503,64.6311,25.18,96,100,12.26
206,Kem,RU,2022-01-31 19:53:58,64.9555,34.5793,18.23,95,100,8.01
207,Vila Franca Do Campo,PT,2022-01-31 19:53:58,37.7167,-25.4333,60.19,79,38,15.97
208,Bengkulu,ID,2022-01-31 19:49:21,-3.8004,102.2655,75.96,86,100,3.83
209,Gornopravdinsk,RU,2022-01-31 19:53:59,60.05,69.9,6.49,98,100,1.74
210,Kemin,KG,2022-01-31 19:53:59,42.7846,75.6892,32.63,69,93,4.65
211,Samarai,PG,2022-01-31 19:53:59,-10.6167,150.6667,80.96,77,100,11.81
212,Castro,BR,2022-01-31 19:54:00,-24.7911,-50.0119,76.39,62,19,2.59
213,Iralaya,HN,2022-01-31 19:54:00,15.0,-83.2333,84.29,62,81,10.78
214,Havre-Saint-Pierre,CA,2022-01-31 19:54:00,50.2334,-63.5986,14.0,67,75,14.97
215,At-Bashi,KG,2022-01-31 19:54:01,41.1702,75.8106,0.0,69,81,2.84
216,Russell,US,2022-01-31 19:54:01,32.3502,-85.1999,69.08,28,0,11.5
217,Ribeira Grande,PT,2022-01-31 19:54:01,38.5167,-28.7,61.2,67,20,23.02
218,Goderich,CA,2022-01-31 19:54:02,43.7501,-81.7165,29.91,59,43,8.05
219,Chuy,UY,2022-01-31 19:54:02,-33.6971,-53.4616,71.69,55,70,16.82
220,Hobart,AU,2022-01-31 19:54:03,-42.8794,147.3294,69.12,88,20,1.01
221,Westport,US,2022-01-31 19:49:56,41.1415,-73.3579,32.92,41,100,3.0
222,Kupang,ID,2022-01-31 19:54:03,-10.1667,123.5833,78.49,84,69,14.74
223,Marawi,PH,2022-01-31 19:54:03,7.9986,124.2928,66.81,96,100,1.07
224,Hirara,JP,2022-01-31 19:54:04,24.8,125.2833,64.83,63,100,14.5
225,Gat,IL,2022-01-31 19:50:04,31.61,34.7642,53.4,100,87,8.81
226,Kruisfontein,ZA,2022-01-31 19:54:04,-34.0033,24.7314,74.88,92,100,3.76
227,Ahipara,NZ,2022-01-31 19:55:04,-35.1667,173.1667,68.79,93,100,14.5
228,Charsadda,PK,2022-01-31 19:55:05,34.1435,71.7317,48.81,45,0,3.89
229,Saint George,US,2022-01-31 19:52:00,37.1041,-113.5841,63.32,24,0,1.99
230,Kokopo,PG,2022-01-31 19:55:05,-4.352,152.2633,77.0,86,94,5.95
231,Finspang,SE,2022-01-31 19:55:06,58.7058,15.7674,24.76,60,99,4.45
232,Luwuk,ID,2022-01-31 19:55:06,-0.9516,122.7875,76.73,81,70,4.65
233,San Quintin,MX,2022-01-31 19:55:07,30.4833,-115.95,64.98,50,90,9.89
234,Barra Do Garcas,BR,2022-01-31 19:55:07,-15.89,-52.2567,77.58,94,75,5.44
235,Sola,VU,2022-01-31 19:55:07,-13.8833,167.55,81.39,76,100,11.68
236,Severo-Kurilsk,RU,2022-01-31 19:55:08,50.6789,156.125,28.36,75,100,17.49
237,Pauini,BR,2022-01-31 19:55:08,-7.7136,-66.9764,87.1,56,86,3.38
238,Benghazi,LY,2022-01-31 19:55:08,32.1167,20.0667,58.55,68,50,16.02
239,Kattivakkam,IN,2022-01-31 19:55:09,13.2167,80.3167,75.29,72,6,4.99
240,Saugus,US,2022-01-31 19:55:09,42.4648,-71.01,33.53,49,96,1.99
241,Touros,BR,2022-01-31 19:55:09,-5.1989,-35.4608,86.9,69,27,14.54
